rank,uni,library,gmaps_rating_original,gmaps_rating_count,opening_hours,qs_rank,gmaps_rating
118,Justus-Liebig-University Giessen,Universitätsbibliothek der Justus-Liebig-Universität Gießen,4.1,86.0,0.65,490,3.5
118,Akdeniz Üniversitesi,Merkezkütüphane of Akdeniz University,3.6,173.0,0.65,1201,2.4
126,Indian Institute of Science,JRD Tata Memorial Library,4.8,159.0,0.64,186,4.8
126,University of Notre Dame,Hesburgh Library,4.8,81.0,0.64,222,4.7
126,The Ohio State University,The Ohio State University Library,4.7,39.0,0.64,120,4.5
126,Clemson University,Clemson University Libraries,4.7,31.0,0.64,801,4.5
126,Memorial University of Newfoundland,Queen Elizabeth II Library,4.6,32.0,0.64,751,4.3
126,University of San Diego,Pardee Legal Research Center,4.6,10.0,0.64,1001,4.3
126,Universitat Pompeu Fabra (Barcelona),Biblioteca/CRAI de la Ciutadella,4.5,130.0,0.64,248,4.2
126,Georgetown University,Joseph Mark Lauinger Memorial Library,4.3,34.0,0.64,248,3.9
126,Rheinische Friedrich-Wilhelms-Universität Bonn,Abteilungsbibliothek MNL,4.1,8.0,0.64,226,3.9
126,Izmir Institute of Technology (IZTECH),Izmir Institute of Technology Library iYTE Library,4.3,36.0,0.64,1001,3.9
126,Tilburg University,Tilburg University Library,4.2,33.0,0.64,356,3.8
126,Johannes Gutenberg Universität Mainz,University Library,4.0,65.0,0.64,427,3.3
126,Universität Stuttgart,University Library Stuttgart (city center),3.3,78.0,0.64,347,2.1
139,University of Texas at San Antonio,John Peace Library,4.8,85.0,0.63,801,4.7
139,Universität Leipzig,Leipzig University Library,4.7,155.0,0.63,447,4.6
139,Universidade de Brasília,Central Library,4.7,232.0,0.63,801,4.6
139,University of Central Oklahoma,Chambers Library,4.7,47.0,0.63,?,4.5
139,Binghamton University SUNY,Glenn G. Bartle Library,4.7,50.0,0.63,801,4.5
139,University of Göttingen,Central Library,4.5,129.0,0.63,204,4.2
139,Technical University of Munich,University Library of the Technische Universität München,4.3,92.0,0.63,50,3.8
139,University of Waterloo,University of Waterloo Davis Centre Library,4.3,121.0,0.63,149,3.8
139,Temple University,Charles Library,3.4,64.0,0.63,751,2.3
148,Indian Institute of Technology Kanpur (IITK),P.K. Kelkar Library,4.8,297.0,0.62,277,4.8
148,Bilkent University,Bilkent University Main Campus Library,4.8,46.0,0.62,591,4.7
148,"Manipal Academy of Higher Education, Manipal, Karnataka, India",Search - The Health Sciences Library,4.8,76.0,0.62,751,4.7
148,Universidad de las Fuerzas Armadas ESPE (Ex - Escuela Politécnica del Ejército),UNIVERSITY OF THE ARMED FORCES ESPE,4.7,1026.0,0.62,1201,4.6
148,Soongsil University,숭실대학교 중앙도서관,4.8,33.0,0.62,?,4.6
148,Universität Rostock,UB Rostock: University Library Südstadt,4.7,81.0,0.62,651,4.5
148,SOAS University of London,SOAS Library,4.7,29.0,0.62,391,4.5
148,Texas Tech University,University Library,4.6,84.0,0.62,801,4.4
148,Victoria University of Wellington,Victoria University of Wellington Kelburn Library,4.6,50.0,0.62,236,4.3
148,Eberhard Karls Universität Tübingen,University library,4.5,97.0,0.62,177,4.2
148,The University of New South Wales (UNSW Sydney),UNSW Library,4.5,178.0,0.62,43,4.2
148,University of Groningen,University of Groningen Library,4.4,102.0,0.62,128,4.0
148,Julius-Maximilians-Universität Würzburg,University Library,4.0,100.0,0.62,378,3.3
161,Middle East Technical University,METU Library,4.7,177.0,0.61,551,4.6
161,Universidade Federal do Ceará (UFC),Universidade Federal do Ceará,4.6,710.0,0.61,1001,4.4
161,Erasmus University Rotterdam,University Library,4.5,32.0,0.61,179,4.2
161,Aston University,Aston University Library,4.4,57.0,0.61,485,4.0
161,Universität Hamburg,Staats- und Universitätsbibliothek Hamburg Carl von Ossietzky,3.7,223.0,0.61,214,2.6
166,Brigham Young University,Harold B. Lee Library (HBLL),4.8,243.0,0.60,1001,4.8
166,University of Memphis,Ned R. McWherter Library,4.8,37.0,0.60,?,4.6
166,University of Central Lancashire,Library and Learning & Information Services,4.7,132.0,0.60,801,4.6
166,Indian Institute of Technology Madras (IITM),Central Library Indian Institute of Technology Madras,4.7,183.0,0.60,255,4.6
166,Nova Southeastern University,"Alvin Sherman Library, Research, and Information Technology Center",4.7,155.0,0.60,?,4.6
166,"The University of Tennessee, Knoxville",John C. Hodges Library,4.7,70.0,0.60,541,4.5
166,Massey University,Massey University Library | Te Putanga Ki Te Ao Mātauranga,4.7,61.0,0.60,284,4.5
166,University of Trento,B.U.C.,4.5,163.0,0.60,440,4.2
166,Universität Innsbruck,Hauptbibliothek,4.4,42.0,0.60,281,4.0
166,City University of Hong Kong,Run Run Shaw Library,4.3,15.0,0.60,53,4.0
166,Utah State University,Utah State University-Libraries,4.3,31.0,0.60,1001,3.9
166,Birmingham City University,Birmingham City University Library,4.1,20.0,0.60,1001,3.7
166,Simon Fraser University,SFU Library,4.1,71.0,0.60,298,3.5
166,Universität Mannheim,Library area Schloss Ehrenhof,3.9,56.0,0.60,423,3.2
166,Erciyes Üniversitesi,Erciyes Üniversitesi Kadir Has Merkez Kütüphanesi (Kütüphane ve Dökümantasyon Daire Başkanlığı),3.8,66.0,0.60,?,3.0
181,Universidad de las Américas Puebla (UDLAP),Biblioteca UDLAP,4.8,28.0,0.59,801,4.6
181,Indian Institute of Technology (BHU) Varanasi,IIT BHU Main Library,4.7,204.0,0.59,?,4.6
181,Indian Institute of Technology Delhi (IITD),"Central Library, IIT Delhi",4.7,251.0,0.59,185,4.6
181,Singapore Management University,SMU Li Ka Shing Library,4.6,69.0,0.59,511,4.4
181,Pontifícia Universidade Católica do Paraná,"Pontifical Catholic University of Paraná, Curitiba Campus",4.5,1403.0,0.59,1201,4.2
181,O.P. Jindal Global University,OP Jindal Global Library,4.4,13.0,0.59,701,4.1
181,University of Virginia,University of Va Library,4.0,5.0,0.59,226,4.0
181,Swinburne University of Technology,Swinburne University of Technology - Hawthorn Library,4.4,42.0,0.59,321,4.0
181,Eindhoven University of Technology,Universiteitsbibliotheek TU/e,4.2,14.0,0.59,125,3.9
181,De Montfort University,Kimberlin Library,4.2,30.0,0.59,801,3.8
181,University of Cologne,University and City Library of Cologne,2.9,193.0,0.59,311,1.0
192,The University of Queensland,Central Library,4.8,57.0,0.58,47,4.7
192,North Carolina State University,D. H. Hill Jr. Library,4.7,133.0,0.58,300,4.6
192,University of Technology Sydney,UTS Library,4.7,195.0,0.58,133,4.6
192,The Hong Kong University of Science and Technology,The Hong Kong University of Science and Technology Library,4.7,62.0,0.58,34,4.5
192,Northwestern University,University Library,4.7,37.0,0.58,30,4.5
192,Mississippi State University,Mitchell Memorial Library,4.7,25.0,0.58,1001,4.4
192,University of San Francisco,"USF School of Law, Zief Law Library",5.0,4.0,0.58,1001,4.4
192,The Hong Kong Polytechnic University,"Pao Yue-kong Library, The Hong Kong Polytechnic University",4.4,290.0,0.58,66,4.0
192,Utrecht University,Universiteitsbibliotheek Utrecht Binnenstad (UBB),4.1,101.0,0.58,110,3.5
192,RWTH Aachen University,University Library RWTH,4.1,101.0,0.58,165,3.5
192,Ruhr-Universität Bochum,University Library Bochum,4.0,58.0,0.58,393,3.4
192,Goethe-University Frankfurt am Main,Library for Law and Economics,3.9,76.0,0.58,340,3.1
192,Macau University of Science and Technology,Macau University of Science and Technology Library,,,0.58,651,
205,Durham University,Bill Bryson Library • Durham University,4.7,79.0,0.57,82,4.5
205,Nagoya University,Nagoya University Library,4.6,62.0,0.57,118,4.4
205,National Chengchi University,NCCU Main Library,4.6,174.0,0.57,591,4.4
205,Glasgow Caledonian University,Sir Alex Ferguson Library,4.6,29.0,0.57,1001,4.3
205,University of Mississippi,J D Williams Library,4.5,13.0,0.57,801,4.2
205,University of Hull,University of Hull,4.5,391.0,0.57,651,4.2
205,Makerere University,Makerere University Library,4.4,157.0,0.57,1001,4.0
205,South China University of Technology,South China University of Technology Library,4.2,11.0,0.57,407,4.0
205,University of Canterbury | Te Whare Wānanga o Waitaha,UC Central Library - Te Puna Mātauraka o Te Whare Wānanga o Waitaha,4.3,42.0,0.57,258,3.9
205,Drexel University,Hagerty Library,3.2,34.0,0.57,651,2.4
215,Czech Technical University in Prague,National Library of Technology,4.7,459.0,0.56,403,4.6
215,"University of Alabama, Birmingham",Lister Hill Library,4.8,17.0,0.56,?,4.5
215,Fordham University,William D. Walsh Family Library,4.7,27.0,0.56,801,4.4
215,Ritsumeikan Asia Pacific University,APU Library,4.8,5.0,0.56,?,4.3
215,Florida Atlantic University - Boca Raton,S. E. Wimberly Library,4.5,33.0,0.56,1001,4.2
215,Monash University,Sir Louis Matheson Library,4.5,110.0,0.56,58,4.2
215,Chang Gung University,Chang-Gung University Library,4.3,34.0,0.56,480,3.9
215,Universität Duisburg-Essen,Duisburg-Essen University Library,4.2,56.0,0.56,801,3.7
215,Technische Universität Braunschweig,University Library,4.2,134.0,0.56,561,3.6
215,Westfälische Wilhelms-Universität Münster,University and State Library,4.2,100.0,0.56,411,3.6
225,University of Massachusetts Amherst,W. E. B. Du Bois Library,4.9,97.0,0.55,246,4.9
225,Iowa State University,Parks Library,4.7,109.0,0.55,494,4.6
225,Instituto Tecnológico de Santo Domingo (INTEC),Instituto Tecnológico de Santo Domingo,4.7,646.0,0.55,?,4.6
225,University of North Texas,Willis Library,4.7,165.0,0.55,1001,4.6
225,National Taiwan University (NTU),NTU Main Library,4.6,621.0,0.55,68,4.4
225,Technische Universität Dresden,Saxon State and University Library Dresden,4.6,300.0,0.55,194,4.4
225,Indiana State University,Cunningham Memorial Library,4.7,24.0,0.55,1201,4.4
225,Tufts University,Tisch Library,4.6,38.0,0.55,275,4.3
225,"Universidad Central ""Marta Abreu"" de Las Villas","Central University ""Marta Abreu"" of Las Villas",4.6,45.0,0.55,521,4.3
225,Université de Fribourg,Bibliothèque de la Faculté de Droit (BFD),4.4,19.0,0.55,561,4.1
225,University of Central Florida,John C. Hitt Library,4.3,114.0,0.55,751,3.8
225,EGE UNIVERSITY,Kütüphane,4.3,187.0,0.55,1001,3.8
237,Australian Catholic University,ACU Brisbane Library,4.9,20.0,0.54,801,4.6
237,University of Wollongong,UOW Library,4.7,114.0,0.54,193,4.6
237,Jawaharlal Nehru University,Dr. B. R. Ambedkar Central Library,4.7,103.0,0.54,561,4.6
237,Newcastle University,Philip Robinson Library,4.7,106.0,0.54,134,4.6
237,University of Kent,Templeman Library,4.7,67.0,0.54,383,4.5
237,Howard University,Howard University Libraries System,5.0,6.0,0.54,651,4.5
237,University of Cincinnati,Langsam Library,4.7,60.0,0.54,601,4.5
237,Universidad Autónoma del Estado de Hidalgo (UAEH),"Central Library, UAEH",4.6,42.0,0.54,801,4.3
237,University of Liverpool,Harold Cohen Library,4.6,49.0,0.54,189,4.3
237,Illinois Institute of Technology,Paul V. Galvin Library,4.6,48.0,0.54,444,4.3
237,Ton Duc Thang University,Inspire Library,4.7,6.0,0.54,1001,4.3
237,Universidad del Pacífico,Universidad del Pacífico,4.5,373.0,0.54,1001,4.2
237,The Herzen State Pedagogical University of Russia,Российский Государственный Педагогический Университет им. А. И. Герцена,4.5,468.0,0.54,1001,4.2
237,American University of Sharjah,American University of Sharjah Library,4.5,39.0,0.54,383,4.2
237,Liverpool John Moores University,"Avril Robarts Library, Liverpool John Moores University",4.4,29.0,0.54,801,4.1
237,The University of Auckland,University of Auckland General Library,4.4,158.0,0.54,85,4.0
237,The University of Tokyo,University of Tokyo General Library,4.4,62.0,0.54,23,4.0
237,CEU Universities,Central European University,4.4,197.0,0.54,?,4.0
237,Florida State University,Robert Manning Strozier Library,4.3,43.0,0.54,475,3.9
